S. No.,Chapter,Schedules,Description of Goods,CGST Rate (%),SGST / UTGST Rate (%),IGST Rate (%),Compensation Cess
438,9404,III,"Mattress  supports;  articles  of  bedding and    similar    furnishing    (for    example, mattresses,   quilts,   eiderdowns,   cushions, pouffes and pillows) fitted with springs or stuffed    or    internally    fitted    with    any material  or  of  cellular  rubber  or  plastics, whether  or  not  covered  [other  than  coir products (except coir mattresses), products",0.09,0.09,0.18,
439,9406,III,Prefabricated buildings,0.09,0.09,0.18,
440,9503,III,"Electronic   Toys   like   tricycles,   scooters,",0.09,0.09,0.18,
441,9506,III,"Articles    and    equipment    for    general physical   exercise,   gymnastics,   athletics, swimming pools and padding pools other",0.09,0.09,0.18,
442,"9606 21 00, 9606",III,"Buttons,  of  plastics  not  covered  with  the textile  material, of base  metals, buttons of",0.09,0.09,0.18,
443,9603 [other than,III,"Brushes   (including   brushes   constituting parts of machines, appliances or vehicles), hand  operated  mechanical  floor  sweepers, not  motorised,  mops  and  feather  dusters; prepared   knots   and   tufts   for   broom  or brush   making;   paint   pads   and   rollers; squeegees   (other   than   roller   squeegees) [other than brooms and brushes, consisting of   twigs   or   other   vegetable   materials",0.09,0.09,0.18,
444,9604 00 00,III,Hand sieves and hand riddles,0.09,0.09,0.18,
445,9605,III,"Travel  sets  for  personal  toilet,  sewing  or",0.09,0.09,0.18,
447,9608,III,"Ball  point  pens;  felt  tipped  and  other porous-tipped  pens  and  markers;  fountain pens;   stylograph   pens   and   other   pens; duplicating   stylos;   pen   holders,   pencil holders     and     similar     holders;     parts (including caps and clips) of the foregoing articles,   other   than   those   of   heading 9609",0.09,0.09,0.18,
448,9610 00 00,III,"Boards,  with  writing  or  drawing  surface,",0.09,0.09,0.18,
449,9612,III,"Typewriter  or  similar  ribbons,   inked  or otherwise prepared for giving impressions, whether  or  not on spools or in cartridges;",0.09,0.09,0.18,
450,9620 00 00,III,"Monopods,   bipods,   tripods   and   similar",0.09,0.09,0.18,
451,9801,III,"All  items  of  machinery  including  prime movers,     instruments,     apparatus     and appliances,  control  gear  and  transmission equipment, auxiliary equipment (including those      required      for      research      and development  purposes, testing  and  quality control),    as    well    as    all    components (whether  finished or not) or raw materials for the manufacture of the aforesaid items and   their   components,   required   for   the initial   setting    up    of   a    unit,    or   the substantial  expansion  of  an  existing  unit, of a specified:",0.09,0.09,0.18,
452,9802,III,Laboratory chemicals,0.09,0.09,0.18,
453,Any Chapter,III,"Goods which are not specified in Schedule I, II, IV, V or VI",0.09,0.09,0.18,
1*,3406,II,Handcrafted candles,0.06,0.06,0.12,
10*,"5609 00 20,",I,"Toran,  Doorway  Decoration  made  from  cotton",0.025,0.025,0.05,
100A,2106,I,"Roasted Gram, idli/dosa batter, chutney powder",0.025,0.025,0.05,
101A,"2106 90, 4502 00 00, 3915",I,"Namkeens,  bhujia,  mixture,  chabena  and  similar  edible preparations  in  ready  for  consumption  form, other than those pre-packaged and labelled.",0.025,0.025,0.05,
101B,4503,II,Articles  of  natural  cork  such  as  Corks  and,0.06,0.06,0.12,
101C,4504,II,Agglomerated   cork   (with   or   without   a,0.06,0.06,0.12,
102A,"2207, [2302",I,Ethyl alcohol supplied to Oil Marketing Companies or Petroleum refineries for blending with motor spirit (petrol),0.025,0.025,0.05,
102B,2306,Nil rate,Cotton seed oil cake,0.0,0.0,0.0,
102C,23022309,Nil rate,"Husk of pulses including Chilka, Concentrates including chuni or churi, Khanda”.",0.0,0.0,0.0,
103A,2302,I,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants [other than aquatic feed including shrimp feed and prawn feed, poultry feed and cattle feed, including grass, hay and straw, supplement and additives, husk of pulses including chilka, concentrates including chuni or churi, khanda, wheat bran, de-oiled cake",0.025,0.025,0.05,
103B,2302,I,Rice bran (other than de-oiled rice bran),0.025,0.025,0.05,
104A,3918,III,"Floor coverings of plastics, whether or not",0.09,0.09,0.18,
107A,3922,III,"Baths,  shower  baths,  sinks,  wash  basins,",0.09,0.09,0.18,
11*,57,I,Handmade  carpets  and  other  handmade  textile,0.025,0.025,0.05,
114A,44 or 68,Nil rate,"Deities made of stone, marble or wood",0.0,0.0,0.0,
114B,46,Nil rate,"Khali Dona; Goods made of sal leaves, siali leaves, sisal",0.0,0.0,0.0,
114C,46,Nil rate,Plates   and   cups   made   up   of   all   kinds   of   leaves/ flowers/bark,0.0,0.0,0.0,
12*,5804 30 00,I,Handmade lace,0.025,0.025,0.05,
121A,"4012, 4904",III,"Retreaded   or   used   pneumatic   tyres   of rubber;  solid  or  cushion  tyres,  tyre  treads",0.09,0.09,0.18,
121B,4013,III,"Inner tubes of rubber [other than of a kind used  on/in  bicycles,  cycle-rickshaws  and",0.09,0.09,0.18,
122A,4907,Nil rate,Duty Credit Scrips,0.0,0.0,0.0,
123A,"2515 11 00, 4016",I,"Marble and travertine, crude or roughly trimmed",0.025,0.025,0.05,
123B,4017,III,Hard  rubber  (for  example  ebonite)  in  all,0.09,0.09,0.18,
123C,4201,III,"Saddlery   and   harness   for   any   animal (including    traces,    leads,    knee    pads, muzzles,  saddle  cloths,  saddle  bags,  dog",0.09,0.09,0.18,
124A,4203,III,"Articles      of      apparel      and      clothing accessories,  of  leather  or  of  composition leather    [other    than    gloves    specially",0.09,0.09,0.18,
124B,4205,III,Other articles of leather or of composition,0.09,0.09,0.18,
124C,4206,III,"Articles of gut (other than silk-worm gut),",0.09,0.09,0.18,
125A,4905,II,"Maps and hydrographic or similar charts of all kinds, including atlases, wall maps, topographical plans and globes, printed.",0.06,0.06,0.12,
12A,"1804, 2202 99 90",III,"Cocoa butter, fat and oil",0.09,0.09,0.18,
12B,"1805, 2202",III,"Cocoa powder, not containing added sugar",0.09,0.09,0.18,
12C,1806,III,Chocolates   and   other   food   preparations,0.09,0.09,0.18,
13*,5805,I,Hand-woven tapestries,0.025,0.025,0.05,
130A,50 to 55,Nil rate,"Khadi fabric, sold through Khadi and Village Industries",0.0,0.0,0.0,
132A,"4303, 53",III,"Articles  of  apparel,  clothing  accessories",0.09,0.09,0.18,
132B,"5402, 5403,",II,Synthetic or artificial filament yarns,0.06,0.06,0.12,
132C,5508,II,Sewing thread of manmade staple fibres,0.06,0.06,0.12,
132D,"5509, 5510,",II,Yarn of manmade staple fibres,0.06,0.06,0.12,
135A,69,Nil rate,Idols made of clay,0.0,0.0,0.0,
136A,7117,Nil rate,Bangles of lac/shellac,0.0,0.0,0.0,
137A,4410,III,"Particle board, Oriented Strand Board and similar  board  (for  example,  wafer  board) of   wood   or   other   ligneous   materials, whether or not agglomerated with resins or other   organic   binding   substances,   other",0.09,0.09,0.18,
137B,4411,III,"Fibre  board  of  wood  or  other  ligneous materials,   whether   or   not   bonded   with resins  or  other  organic  substances,  other",0.09,0.09,0.18,
137C,4412,III,"Plywood,   veneered   panels   and   similar",0.09,0.09,0.18,
137D,4413,III,"Densified  wood,  in  blocks,  plates,  strips,",0.09,0.09,0.18,
137E,4414,III,"Wooden        frames        for        paintings,",0.09,0.09,0.18,
137F,4418,III,"Builders’  joinery  and  carpentry  of  wood,",0.09,0.09,0.18,
137G,4421,III,"Wood  paving  blocks,  articles  of densified wood not elsewhere included or specified, Parts of domestic  decorative  articles  used",0.09,0.09,0.18,
14*,5808 10,I,Hand-made  braids  and  ornamental  trimming  in the piece,0.025,0.025,0.05,
146A,96190010,Nil rate,Sanitary towels (pads) or sanitary napkins; tampons,0.0,0.0,0.0,
15*,5810,I,Hand embroidered articles,0.025,0.025,0.05,
150A,4814,III,Wall  paper   and  similar   wall  coverings;,0.09,0.09,0.18,
153A,4819,III,"Cartons,   boxes,   cases,   bags   and   other packing  containers,  of  paper,  paperboard, cellulose  wadding  or   webs  of  cellulose fibres;  box  files,  letter  trays,  and  similar articles,  of paper  or  paperboard  of a  kind used in offices, shops or the like",0.09,0.09,0.18,
156A,2621,I,Fly Ash,0.025,0.025,0.05,
157A,4906 00 00,III,"Plans    and    drawings    for    architectural, engineering,       industrial,       commercial, topographical  or  similar  purposes,  being originals   drawn   by   hand;   hand-written texts;    photographic     reproductions     on sensitised  paper  and  carbon  copies  of  the",0.09,0.09,0.18,
157B,4907,III,"Unused postage, revenue or similar stamps of  current  or  new  issue  in  the  country  in which    they    have,    or    will    have,    a recognised   face   value;   stamp-impressed paper;   banknotes;   cheque   forms;   stock, share   or   bond   certificates   and   similar documents of title (other than Duty Credit Scrips ) ; Cheques, loose or in book form",0.09,0.09,0.18,
157C,4908,III,Transfers (decalcomanias).,0.09,0.09,0.18,
157D,4909,III,"Printed   or   illustrated   postcards;   printed cards bearing personal greetings, messages or     announcements,     whether     or     not",0.09,0.09,0.18,
157E,4910,III,"Calendars  of  any  kind,  printed,  including",0.09,0.09,0.18,
157F,4911,III,"Other   printed   matter,   including   printed pictures  and  photographs;  such  as  Trade advertising         material,         Commercial catalogues  and  the  like,  printed  Posters,",0.09,0.09,0.18,
15A,2404 11 00,IV,Products  containing  tobacco  or  reconstituted,0.14,0.14,0.28,
15B,2404 19 00,IV,Products    containing    tobacco    or    nicotine,0.14,0.14,0.28,
16*,"6117, 6214",I,Handmade/hand   embroidered   shawls    of   sale,0.025,0.025,0.05,
163A,"56012200, 8701",III,Cigarette Filter rods,0.09,0.09,0.18,
163B,3923 or 6305,III,"Woven and  non-woven  bags and  sacks of polyethylene or polypropylene strips or the like,  whether  or  not  laminated,  of  a  kind",0.09,0.09,0.18,
163C,6305 32 00,III,Flexible intermediate bulk containers,0.09,0.09,0.18,
165A,2711 12 00,I,"Liquefied  Propane  and  Butane  mixture,  Liquefied  Propane, Liquefied  Butane  and  Liquefied  Petroleum  Gases  (LPG)  for supply to household domestic consumers”;",0.025,0.025,0.05,
16A,"805, 2101 11, 2101 12",II,"Citrus  fruit,   such  as  Oranges,   Mandarins (including     tangerines     and     satsumas); clementines,   wilkings   and   similar   citrus hybrids,    Grapefruit,    including    pomelos, Lemons (Citrus limon, Citrus limonum) and limes  (Citrus  aurantifolia,  Citrus  latifolia), dried”;",0.06,0.06,0.12,
17*,"6117, 6214",II,Handmade/hand   embroidered   shawls    of   sale,0.06,0.06,0.12,
170A,2809,I,Fertilizer grade phosphoric acid,0.025,0.025,0.05,
171A1,64,II,Footwear   of   sale    value    not    exceeding,0.06,0.06,0.12,
171AA,6501,II,Textile caps,0.06,0.06,0.12,
171B,6505,II,Hats  (knitted/crocheted)  or  made  up  from,0.06,0.06,0.12,
176A,6802,II,"Statues,  statuettes,  pedestals;  high  or  low reliefs,  crosses,  figures  of  animals,  bowls, vases,   cups,   cachou   boxes,   writing   sets, ashtrays,  paper  weights,  artificial  fruit  and",0.06,0.06,0.12,
176B,6815,II,Fly ash bricks; Fly ash aggregates; Fly ash blocks,0.06,0.06,0.12,
176C,6901 00 10,II,Bricks of fossil meals or similar siliceous earths,0.06,0.06,0.12,
176D,6904 10 00,II,Building bricks,0.06,0.06,0.12,
176E,6905 10 00,II,Earthen or roofing tiles,0.06,0.06,0.12,
177A,"6909, 6702",II,"Pots, jars and similar articles of a kind used",0.06,0.06,0.12,
177B,"6911, 6703",II,"Tableware,   kitchenware,   other   household articles and",0.06,0.06,0.12,
177C,"6912, 6704",II,"Tableware,   kitchenware,   other   household articles and",0.06,0.06,0.12,
177D,"6913, 6801",II,Statues and other ornamental articles,0.06,0.06,0.12,
177E,6802,III,"Worked   monumental   or   building   stone (except slate) and 17 articles thereof, other than goods of heading 6801; mosaic cubes and  the  like,  of  natural  stone  (including slate),   whether   or   not   on   a   backing; artificially   coloured   granules,   chippings and   power,   of   natural  stone   (including slate)    [other    than    statues,    statuettes, pedestals;   high   or   low   reliefs,   crosses, figures   of   animals,   bowls,   vases,   cups, cachou boxes, writing sets, ashtrays, paper weights,  artificial  fruit  and  foliage,  etc.; other   ornamental   goods   essentially   of",0.09,0.09,0.18,
177F,6803,III,Worked  slate  and  articles  of  slate  or  of,0.09,0.09,0.18,
18*,6802,II,"Carved  stone  products  (e.g.,  statues,  statuettes, figures  of  animals,  writing  sets,  ashtray,  candle",0.06,0.06,0.12,
180B,6808,III,"Panels,  boards,  tiles,  blocks  and  similar articles  of  vegetable  fibre,  of  straw  or  of",0.09,0.09,0.18,
180C,6809,III,"Articles   of   plaster   or   of   compositions based  on  plaster;  such  as  Boards,  sheets, panels,   tiles   and   similar   articles,   not",0.09,0.09,0.18,
181A,30,I,"Medicaments (including  those used  in Ayurvedic,  Unani, Siddha,      Homeopathic      or      Bio-chemic      systems), manufactured exclusively in accordance with the formulae described  in the authoritative  books specified  in the  First Schedule  to  the  Drugs  and  Cosmetics  Act,  1940  (23  of 1940)  or  Homeopathic  Pharmacopoeia  of  India  or  the United  States of America  or  the  United  Kingdom  or  the German Homeopathic Pharmacopoeia, as the case may be, and  sold  under  the  name  as  specified  in  such  books  or",0.025,0.025,0.05,
181B,3006,I,"Ostomy appliances including pouch or flange, stoma adhesive paste, barrier cream, irrigator kit, sleeves, belt, micro-pore tapes",0.025,0.025,0.05,
182A,"3102, 6812",I,"Mineral  or  chemical  fertilisers,  nitrogenous,  other  than",0.025,0.025,0.05,
182B,"3103, 6813",I,"Mineral  or  chemical  fertilisers,  phosphatic,  other  than",0.025,0.025,0.05,
182C,"3104, 6814",I,"Mineral or chemical fertilisers,  potassic, other than those",0.025,0.025,0.05,
182D,"3105, 6815",I,"Mineral or chemical fertilisers containing two or three of the    fertilising    elements    nitrogen,    phosphorus    and potassium;   other   fertilisers;   goods   of   this   Chapter   in tablets or similar  forms or  in packages of a  gross weight not  exceeding  10  kg;  other  than  those  which  are  clearly not to be used as fertilizers”;",0.025,0.025,0.05,
182E,6901,III,"Blocks,  tiles  and  other  ceramic  goods  of siliceous    fossil    meals    (for    example, kieselguhr,   tripolite   or   diatomite)   or  of",0.09,0.09,0.18,
184A,6904,III,"Ceramic  flooring  blocks,  support  or  filler",0.09,0.09,0.18,
184B,6905,III,"Chimney-pots,    cowls,    chimney    liners,",0.09,0.09,0.18,
185A,"7419 80 30, 6907",II,Brass Kerosene Pressure Stove,0.06,0.06,0.12,
185B,6909,III,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and  similar  receptacles  of  a  kind  used  in agriculture;  ceramic  pots,  jars  and  similar articles of",0.09,0.09,0.18,
185C,6910,III,"Ceramic  sinks,  wash  basins,  wash  basin pedestals, baths, bidets, water closet  pans,",0.09,0.09,0.18,
185D,6914,III,Other ceramic articles,0.09,0.09,0.18,
186A,3816,I,Dolomite ramming mix,0.025,0.025,0.05,
186A,8214,II,Pencil sharpeners,0.06,0.06,0.12,
186B,386,I,Bio-diesel   supplied   to   Oil   Marketing   Companies   for,0.025,0.025,0.05,
188A,4004 00 00,I,"Waste, parings or scrap of rubber (other than hard rubber)",0.025,0.025,0.05,
189A,"8306, 7003",II,"Bells,  gongs  and  the  like,  non-electric,  of base  metal;  statuettes  and  other  ornaments, of base metal; photograph, picture or similar frames, of base metal;mirrors of base metal;",0.06,0.06,0.12,
189B,7004,III,"Drawn  glass  and  blown  glass,  in  sheets, whether   or   not   having   an   absorbent, reflecting  or  non-reflecting  layer,  but  not",0.09,0.09,0.18,
189C,7005,III,"Float glass and surface ground or polished glass,  in sheets,  whether  or  not  having  an absorbent,    reflecting    or    non-reflecting",0.09,0.09,0.18,
189D,7006 00 00,III,"Glass of heading 7003, 7004 or 7005, bent, edge-worked, engraved, drilled, enamelled or  otherwise  worked,  but  not  framed  or",0.09,0.09,0.18,
189E,7007,III,"Safety   glass,    consisting    of   toughened",0.09,0.09,0.18,
189F,7008,III,Multiple-walled insulating units of glass,0.09,0.09,0.18,
189G,7009,III,"Glass   mirrors,   whether   or   not   framed,",0.09,0.09,0.18,
19*,6815 99 90,II,"Stone art ware, stone inlay work",0.06,0.06,0.12,
190A,7011,III,"Glass   envelopes   (including   bulbs   and tubes),   open,   and   glass   parts   thereof, without   fittings,   for   electric   lamps   and light   sources,   cathode   ray   tube   or   the",0.09,0.09,0.18,
191A,"4017, 7014",I,Waste or scrap of hard rubber,0.025,0.025,0.05,
192A,7016,III,"Paving  blocks,  slabs,  bricks,  squares, tiles and  other  articles  of  pressed  or  moulded glass, whether or not wired, of a kind used for   building   or   construction   purposes; glass  cubes  and  other  glass  small  wares, whether  or  not  on  a  backing,  for  mosaics or   similar   decorative   purposes;   leaded lights  and  the  like;  multi-cellular  or  foam glass   in   blocks,   panels,   plates,shells   or",0.09,0.09,0.18,
194A,8419 12,II,Solar water heater and system,0.06,0.06,0.12,
195A,"8420, 7020",II,Hand operated rubber roller,0.06,0.06,0.12,
195AA,8424,II,Nozzles   for   drip   irrigation  equipment   or nozzles for sprinklers,0.06,0.06,0.12,
195B,8424,II,Sprinklers;  drip  irrigation  system  including,0.06,0.06,0.12,
198A,4501,I,"Natural cork, raw or simply prepared",0.025,0.025,0.05,
198A A,"4601, 4602",I,"Manufactures of straw,  of esparto  or  of other  plaiting materials; basketware and wickerwork",0.025,0.025,0.05,
198B,4707,I,Recovered waste or scrap of paper or paperboard],0.025,0.025,0.05,
2*,"4202 22,",II,Handbags      including     pouches     and     purses; jewellery box,0.06,0.06,0.12,
20*,6912 00 10,II,"Tableware and kitchenware of clay and terracotta,",0.06,0.06,0.12,
201A,"84, 85 or 94",II,Following  renewable  energy  devices  and  parts for their manufacture:-,0.06,0.06,0.12,
206A,87,II,Fuel Cell Motor Vehicles,0.06,0.06,0.12,
207A,8710,II,"Tanks and other armoured fighting vehicles,",0.06,0.06,0.12,
21*,6913 90 00,II,Statuettes  &  other  ornamental  ceramic  articles,0.06,0.06,0.12,
218A,5605 00 10,I,"Real zari thread  (gold)  and  silver  thread,  combined  with",0.025,0.025,0.05,
218B,5607,I,"Jute twine, coir cordage or ropes",0.025,0.025,0.05,
218C,5608,I,"Knotted netting of twine, cordage or rope; made up fishing",0.025,0.025,0.05,
218D,5609,I,Products of coir,0.025,0.025,0.05,
219A,5801,I,All goods,0.025,0.025,0.05,
219A A,5806,I,"Narrow woven fabrics, other than goods of heading 5807; narrow fabrics consisting of warp without weft assembled",0.025,0.025,0.05,
219B,5808,I,Saree fall,0.025,0.025,0.05,
22*,7009 92 00,II,Ornamental framed mirrors,0.06,0.06,0.12,
222A,9403,II,"Furniture  wholly  made  of bamboo,  cane  or",0.06,0.06,0.12,
224A,"6309 or, 9404",I,Worn clothing and other worn articles; rags,0.025,0.025,0.05,
225A,6602 00 00,I,Walking-sticks including seat sticks,0.025,0.025,0.05,
228A,7001,I,Cullet or other waste or scrap of glass,0.025,0.025,0.05,
23*,7018 10,I,"Bangles, beads and small ware",0.025,0.025,0.05,
230A,"8407 10 00,",I,Aircraft engines,0.025,0.025,0.05,
231A,9601,II,"Worked  ivory,  bone,  tortoise  shell,  horn, antlers,  mother  of  pearl,  and  other  animal carving    material    and    articles    of    these",0.06,0.06,0.12,
231B,9607,II,Slide fasteners and parts thereof,0.06,0.06,0.12,
234B,8504,I,Charger   or   charging   station   for   Electrically   operated,0.025,0.025,0.05,
235A,7322,III,"Radiators     for     central     heating,     not electrically  heated,  and  parts  thereof,  of iron  or  steel;  air  heaters  and  hot  air  20 distributors  (including  distributors  which can  also  distribute  fresh  or  conditioned air), not electrically heated, incorporating a motor-driven   fan   or   blower,   and   parts",0.09,0.09,0.18,
236A,7323 9410,III,Ghamella,0.09,0.09,0.18,
236B,7324,III,"Sanitary  ware  and  parts  thereof,  of  iron",0.09,0.09,0.18,
24*,7018 90 10,II,Glass statues [other than those of crystal],0.06,0.06,0.12,
242A,87,I,"Electrically  operated  vehicles,  including  two  and  three wheeled electric vehicles. Explanation .- For the purposes of   this   entry,   “Electrically   operated   vehicles”   means vehicles which are run solely on electrical energy derived from  an  external  source  or  from  one  or  more  electrical",0.025,0.025,0.05,
243A,8714 20,I,Parts and accessories of carriage for disabled persons],0.025,0.025,0.05,
243B,88 or Any other chapter,I,"Scientific      and      technical      instruments,      apparatus, equipment,  accessories,  parts,  components,  spares,  tools, mock  ups  and  modules,  raw  material  and  consumables",0.025,0.025,0.05,
24A,"2202 91 00, 2202, 2403 91 00",III,Other non-alcoholic  beverages [other than,0.09,0.09,0.18,0.36R per unit
25*,7020 00 90,II,"Glass art ware [ incl. pots, jars, votive, cask, cake cover, tulip bottle, vase ]",0.06,0.06,0.12,
252A,7418,III,"All  goods  [other  than  table,  kitchen  or other     household    articles    of    copper;",0.09,0.09,0.18,
255A,9021,I,"Orthopaedic appliances, such as crutches, surgical belts, and trusses; Splints and other fracture appliances; artificial parts of the body; other appliances which are worn or carried, or implanted in the body, to compensate for a defect or disability; intraocular lens [other than hearing aids]”;",0.025,0.025,0.05,
257A,9404,I,Cotton  quilts  of  sale  value  not  exceeding  Rs.  1000  per piece,0.025,0.025,0.05,
257B,9401 10 00,I,Aircraft seats,0.025,0.025,0.05,
259A,9503,I,Toy ballons made of natural rubber latex],0.025,0.025,0.05,
259B,9507,I,Fishing hooks,0.025,0.025,0.05,
259C,9601,I,Worked corals other than articles of coral,0.025,0.025,0.05,
26*,7113 11 10,V,Silver filigree work,0.015,0.015,0.03,
263A,Any Chapter,I,"Rosaries, prayer beads or Hawan samagri",0.025,0.025,0.05,
26A,2404 12 00,III,Products      containing      nicotine      and intended        for        inhalation        without,0.09,0.09,0.18,
26B,"2404 91 00, 2404",III,"Products      for      oral     application      or transdermal  application  or  for  application otherwise   than   orally   or   transdermally, containing  nicotine  and  intended  to  assist",0.09,0.09,0.18,
26C,"2515 12 20, 2515",III,"Marble and travertine, other than blocks",0.09,0.09,0.18,
26D,2516 12 00,III,"Granite, other than blocks",0.09,0.09,0.18,
26E,2601,III,"Iron   ores   and   concentrates,   including",0.09,0.09,0.18,
26F,2602,III,"Manganese      ores      and      concentrates,",0.09,0.09,0.18,
26G,2603,III,Copper ores and concentrates,0.09,0.09,0.18,
26H,2604,III,Nickel ores and concentrates,0.09,0.09,0.18,
26I,2605,III,Cobalt ores and concentrates,0.09,0.09,0.18,
26J,2606,III,Aluminium ores and concentrates,0.09,0.09,0.18,
26K,2607,III,Lead ores and concentrates,0.09,0.09,0.18,
26L,2608,III,Zinc ores and concentrates,0.09,0.09,0.18,
26M,2609,III,Tin ores and concentrates,0.09,0.09,0.18,
26N,2610,III,Chromium ores and concentrates,0.09,0.09,0.18,
27*,7117,V,Handmade  imitation  jewellery (including natural,0.015,0.015,0.03,
275A,7615,III,"All  goods  [other  than  table,  kitchen  or other   household   articles,   of   aluminium;",0.09,0.09,0.18,
28*,7326 90 99,II,Art ware of iron,0.06,0.06,0.12,
29*,7419 80,II,"Art  ware of brass, copper/ copper alloys, electro plated with nickel/silver",0.06,0.06,0.12,
29A,802,I,"Walnuts, whether or not shelled",0.025,0.025,0.05,
3*,"4416,",II,"Carved    wood    products,    art    ware/decorative",0.06,0.06,0.12,
30*,7616 99 90,II,Aluminium art ware,0.06,0.06,0.12,
301A,8211,III,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 8208, and blades therefor",0.09,0.09,0.18,
301AA,8212,III,Razors  and  razor  blades  (including  razor blade blanks in strips),0.09,0.09,0.18,
302A,8214,III,"Other articles of cutlery (for example, hair clippers,   butchers'   or   kitchen   cleavers, choppers  and  mincing  knives,);  manicure or pedicure sets and instruments (including nail files) [other than pencil sharpeners]",0.09,0.09,0.18,
302B,8215,III,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware",0.09,0.09,0.18,
303A,8302,III,"Base metal mountings, fittings and similar articles    suitable    for    furniture,    doors, staircases,   windows,   blinds,   coachwork, saddlery, trunks, chests, caskets or the like; base metal hatracks, hat-pegs, brackets and similar fixtures; castors with mountings of base metal; automatic door closers of base",0.09,0.09,0.18,
303B,8303,III,"Armoured   or   reinforced   safes,   strong- boxes  and  doors  and  safe  deposit  lockers for  strong-rooms,  cash  or  deed  boxes  and",0.09,0.09,0.18,
303C,8304,III,"Filing cabinets, card-index cabinets, paper trays,  paper  rests,  pen  trays,  office-stamp stands     and     similar     office     or     desk equipment, of base metal, other than office",0.09,0.09,0.18,
303D,8305,III,"Fittings   for   loose-leaf   binders   or   files, letter   clips,   letter   corners,   paper   clips, indexing tags and similar office articles, of base  metal;  staples  in  strips (for  example, for offices, upholstery, packaging), of base",0.09,0.09,0.18,
307A,8310,III,"Sign-plates,    name-plates,    address-plates and  similar  plates,  numbers,   letters  and other  symbols,  of  base  metal,  excluding",0.09,0.09,0.18,
308A,84,III,Parts suitable  for use  solely or principally,0.09,0.09,0.18,
308B,84 or 85,III,"Parts suitable  for use  solely or principally with    power    driven    pumps    primarily designed    for   handling   water,   namely, centrifugal      pumps(      horizontal      and vertical),  deep  tube-well  turbine  pumps, submersible  pumps,  axial flow  and  mixed",0.09,0.09,0.18,
30A,"804, 2706, 504",I,"Mangoes sliced, dried",0.025,0.025,0.05,
30B,504,Nil rate,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0,0.0,0.0,
31*,8306,II,"Bells, gongs and like, non-electric, of base metal; statuettes,  and  other   ornaments,  of  base  metal; photograph,  picture  or  similar  frames,  of  base metal;    mirrors     of     base     metal;     (including",0.06,0.06,0.12,
317A,8413,III,"“(a) Concrete pumps [8413 40 00]; (b) other rotary positive displacement pumps [8413 60]; (c) Power driven pumps primarily designed for handling water, namely, centrifugal pumps (horizontal and vertical), deep tube-well turbine pumps, submersible pumps, axial flow and mixed flow vertical pumps",0.09,0.09,0.18,
317B,8414,III,"Air  or  vacuum  pumps,  air  or  other  gas compressors    and    fans;    ventilating    or recycling    hoods    incorporating    a    fan, whether or not fitted with filters; Gas-tight biological  safety  cabinets,  whether  or  not fitted   with   filters   [other   than   bicycle pumps, other hand pumps and parts of air or   vacuum   pumps   and   compressors   of",0.09,0.09,0.18,
317C,8414 20 10,III,Bicycle pumps,0.09,0.09,0.18,
317D,8414 90 12,III,Parts of air or vacuum pumps and compressors of bicycle pumps,0.09,0.09,0.18,
319A,8418,III,"Refrigerators,       freezers       and       other refrigerating     or     freezing     equipment, electric or other; heat pumps other than air",0.09,0.09,0.18,
32*,9405 10,II,Handcrafted  lamps (including panchloga lamp),0.06,0.06,0.12,
327A,8427,III,Fork-lift  trucks;  other  works  trucks  fitted,0.09,0.09,0.18,
327B,8428,III,"Other     lifting,     handling,     loading     or",0.09,0.09,0.18,
327C,8429,III,"Self-propelled    bulldozers,    angledozers, graders,   levellers,   scrapers,   mechanical shovels,     excavators,     shovel     loaders,",0.09,0.09,0.18,
327D,8430,III,"Other moving, grading, levelling, scraping, excavating,         tamping,         compacting, extracting  or  boring  machinery,  for  earth, minerals   or   ores;   piledrivers   and   pile-",0.09,0.09,0.18,
328A,8433,III,"Machines for cleaning, sorting or grading eggs, fruit or other agricultural",0.09,0.09,0.18,
328B,8434,III,Milking machines and dairy machinery”;,0.09,0.09,0.18,
329A,8437,III,"Machines for cleaning, sorting or grading, seed, grain or dried leguminous",0.09,0.09,0.18,
32A,"1701 91 , 1701",II,"All     goods,     including     refined     sugar containing   added   flavouring   or   colouring",0.06,0.06,0.12,
32AA,1704,II,Sugar boiled confectionery,0.06,0.06,0.12,
32B,1902,II,"Pasta,   whether   or   not   cooked  or   stuffed (with meat or other substances) or otherwise prepared,    such    as    spaghetti,    macaroni, noodles,       lasagne,       gnocchi,       ravioli,",0.06,0.06,0.12,
33*,"9401 50,",II,"Furniture of bamboo, rattan and cane",0.06,0.06,0.12,
34*,9503,II,Dolls  or  other  toys  made  of  wood  or  metal  or,0.06,0.06,0.12,
341A,8450,III,Household     or     laundry-type     washing,0.09,0.09,0.18,
35*,9504,II,Ganjifa card,0.06,0.06,0.12,
36*,9601,II,"Worked  articles   of   ivory,   bone,   tortoise   shell, horn,  antlers,  coral,   mother  of  pearl,     seashell",0.06,0.06,0.12,
